2951505002592,1178903500,w,512
2951505007524,1245162752,r,262144
2951505007568,214388544,w,32768
2951505008945,1178903499,w,512
2951505011193,1178903500,w,1024
2951505014305,1178903502,w,512
2951505022502,470615808,w,32768
2951505027559,1178903503,w,512
2951505032439,1178903502,w,512
2951505033097,1178903503,w,512
2951505037977,1245163264,r,262144
2951505038178,1178903504,w,512
2951505038196,470615168,w,32768
2951505053598,212572160,w,98304
2951505068998,1245163776,r,262144
2951505069170,212571456,w,32768
2951505085007,394881728,w,32768
2951505100314,1300160896,r,262144
2951505100493,394869504,w,32768
2951505115919,120295360,w,32768
2951505131564,120331712,w,32768
2951505146951,1300161408,r,262144
2951505147119,1257974208,w,32768
2951505162812,1571664512,w,32768
2951505164352,1702935165,w,512
2951505178273,622976640,w,32768
2951505194253,1300161920,r,262144
2951505194361,612147072,w,32768
2951505209436,619322240,w,32768
2951505225398,1178903505,w,512
2951505227165,805842496,w,32768
2951505240751,394935872,w,32768
2951505240892,1300162432,r,262144
2951505256344,1078144064,w,65536
2951505271828,1300162944,r,262144
2951505271945,120338688,w,32768
2951505273018,1178903504,w,512
2951505273842,1178903505,w,16896
2951505287635,1081651264,w,163840
2951505295525,1178903538,w,512
2951505303041,1300163456,r,262144
2951505303125,1508141888,w,32768
2951505308520,1178903539,w,512
2951505309302,1178903538,w,512
2951505310037,1178903539,w,512
2951505311170,1178903540,w,512
2951505318615,1081651904,w,65536
2951505324460,1178903539,w,512
2951505325097,1178903540,w,1536
2951505327263,1178903543,w,512
